"","P1","P2","P3","P4","P5","P6","P7","P8"
"11772","Opera Cake","Blackberry Tart","Cherry Tart","Raspberry Cookie","Walnut Cookie",NA,NA,NA
"11773","Casino Cake","Chocolate Eclair","Lemon Cookie","Cherry Soda",NA,NA,NA,NA
"11774","Strawberry Cake","Napoleon Cake","Cherry Tart",NA,NA,NA,NA,NA
"11775","Berry Tart","Apple Danish","Bottled Water",NA,NA,NA,NA,NA
"11776","Blueberry Tart","Apricot Croissant","Hot Coffee",NA,NA,NA,NA,NA
"11777","Napoleon Cake","Apple Tart","Apple Croissant","Apple Danish","Cherry Soda",NA,NA,NA
"11778","Berry Tart","Bottled Water",NA,NA,NA,NA,NA,NA
"11779","Truffle Cake","Gongolais Cookie",NA,NA,NA,NA,NA,NA
"11780","Opera Cake","Cherry Tart","Apricot Danish",NA,NA,NA,NA,NA
"11781","Truffle Cake","Blueberry Tart","Single Espresso",NA,NA,NA,NA,NA
"11782","Berry Tart","Cherry Tart","Cheese Croissant",NA,NA,NA,NA,NA
"11783","Berry Tart","Blueberry Tart","Cherry Tart","Vanilla Meringue","Bottled Water",NA,NA,NA
"11784","Coffee Eclair","Berry Tart","Raspberry Cookie","Cheese Croissant","Bottled Water",NA,NA,NA
"11785","Opera Cake","Napoleon Cake","Marzipan Cookie","Tuile Cookie","Cheese Croissant",NA,NA,NA
"11786","Gongolais Cookie","Chocolate Meringue","Apricot Danish","Blueberry Danish",NA,NA,NA,NA
"11787","Cherry Tart","Walnut Cookie",NA,NA,NA,NA,NA,NA
"11788","Apricot Tart","Blackberry Tart","Blueberry Tart","Chocolate Croissant",NA,NA,NA,NA
"11789","Berry Tart","Cheese Croissant","Orange Juice",NA,NA,NA,NA,NA
"11790","Chocolate Tart","Walnut Cookie","Vanilla Frappuccino",NA,NA,NA,NA,NA
"11791","Opera Cake","Cherry Tart","Gongolais Cookie","Bottled Water",NA,NA,NA,NA
"11792","Marzipan Cookie",NA,NA,NA,NA,NA,NA,NA
"11793","Chocolate Cake","Casino Cake","Vanilla Meringue","Green Tea","Chocolate Coffee",NA,NA,NA
"11794","Coffee Eclair","Apple Pie","Almond Twist",NA,NA,NA,NA,NA
"11795","Casino Cake","Berry Tart","Bottled Water",NA,NA,NA,NA,NA
"11796","Coffee Eclair","Apple Pie","Almond Twist","Hot Coffee",NA,NA,NA,NA
"11797","Chocolate Cake","Lemon Cake","Strawberry Cake","Lemon Tart",NA,NA,NA,NA
"11798","Almond Tart","Blueberry Tart","Marzipan Cookie","Apricot Croissant",NA,NA,NA,NA
"11799","Coffee Eclair","Apple Pie","Almond Twist","Green Tea","Hot Coffee",NA,NA,NA
"11800","Strawberry Cake","Napoleon Cake","Raspberry Cookie","Chocolate Croissant",NA,NA,NA,NA
"11801","Apple Tart","Cheese Croissant","Vanilla Frappuccino",NA,NA,NA,NA,NA
"11802","Apple Tart","Apple Croissant","Apple Danish","Cherry Soda",NA,NA,NA,NA
"11803","Lemon Cake","Chocolate Eclair","Berry Tart",NA,NA,NA,NA,NA
"11804","Apple Tart","Apple Croissant","Apple Danish",NA,NA,NA,NA,NA
"11805","Lemon Cake","Lemon Tart",NA,NA,NA,NA,NA,NA
"11806","Casino Cake","Truffle Cake","Coffee Eclair","Apple Pie","Almond Twist","Almond Bear Claw","Hot Coffee",NA
"11807","Ganache Cookie","Lemon Cookie","Apricot Danish",NA,NA,NA,NA,NA
"11808","Chocolate Tart","Walnut Cookie","Vanilla Frappuccino",NA,NA,NA,NA,NA
"11809","Chocolate Cake","Casino Cake","Chocolate Tart","Vanilla Meringue","Chocolate Coffee",NA,NA,NA
"11810","Cheese Croissant","Orange Juice",NA,NA,NA,NA,NA,NA
"11811","Opera Cake","Cherry Tart","Apricot Danish",NA,NA,NA,NA,NA
"11812","Marzipan Cookie","Tuile Cookie",NA,NA,NA,NA,NA,NA
"11813","Gongolais Cookie","Chocolate Croissant","Cherry Soda",NA,NA,NA,NA,NA
"11814","Almond Bear Claw",NA,NA,NA,NA,NA,NA,NA
"11815","Marzipan Cookie","Tuile Cookie",NA,NA,NA,NA,NA,NA
"11816","Lemon Cake","Blueberry Tart","Apricot Croissant","Hot Coffee",NA,NA,NA,NA
"11817","Almond Tart","Lemon Tart","Cherry Soda",NA,NA,NA,NA,NA
"11818","Cheese Croissant","Orange Juice","Hot Coffee",NA,NA,NA,NA,NA
"11819","Apple Tart","Berry Tart","Blueberry Tart","Lemon Cookie","Hot Coffee",NA,NA,NA
"11820","Chocolate Tart","Walnut Cookie","Vanilla Frappuccino",NA,NA,NA,NA,NA
"11821","Chocolate Cake","Strawberry Cake","Almond Tart","Walnut Cookie","Orange Juice",NA,NA,NA
"11822","Lemon Cake","Blackberry Tart","Blueberry Danish",NA,NA,NA,NA,NA
"11823","Vanilla Eclair","Chocolate Tart","Walnut Cookie","Vanilla Frappuccino",NA,NA,NA,NA
"11824","Strawberry Cake","Napoleon Cake","Walnut Cookie",NA,NA,NA,NA,NA
"11825","Strawberry Cake","Apricot Danish","Lemon Lemonade",NA,NA,NA,NA,NA
"11826","Chocolate Eclair","Vanilla Eclair","Napoleon Cake","Lemon Tart",NA,NA,NA,NA
"11827","Chocolate Eclair","Vanilla Meringue","Marzipan Cookie","Tuile Cookie","Orange Juice",NA,NA,NA
"11828","Opera Cake","Coffee Eclair","Blackberry Tart","Green Tea",NA,NA,NA,NA
"11829","Truffle Cake","Bottled Water",NA,NA,NA,NA,NA,NA
"11830","Lemon Tart","Hot Coffee",NA,NA,NA,NA,NA,NA
"11831","Coffee Eclair","Blackberry Tart","Single Espresso",NA,NA,NA,NA,NA
"11832","Lemon Cake","Blueberry Tart","Apricot Croissant","Hot Coffee",NA,NA,NA,NA
"11833","Coffee Eclair","Apple Pie","Almond Twist","Hot Coffee",NA,NA,NA,NA
"11834","Napoleon Cake","Almond Tart","Hot Coffee",NA,NA,NA,NA,NA
"11835","Strawberry Cake","Apple Croissant",NA,NA,NA,NA,NA,NA
"11836","Blueberry Tart","Marzipan Cookie","Tuile Cookie","Apple Croissant","Apricot Croissant","Apple Danish","Hot Coffee",NA
"11837","Truffle Cake","Apricot Tart","Chocolate Croissant",NA,NA,NA,NA,NA
"11838","Blueberry Tart","Lemon Tart","Pecan Tart","Raspberry Cookie","Chocolate Croissant","Almond Bear Claw","Raspberry Lemonade","Cherry Soda"
"11839","Napoleon Cake","Apricot Danish","Lemon Lemonade","Orange Juice","Hot Coffee",NA,NA,NA
"11840","Truffle Cake","Lemon Tart","Gongolais Cookie",NA,NA,NA,NA,NA
"11841","Blueberry Tart","Tuile Cookie","Apricot Croissant","Cheese Croissant",NA,NA,NA,NA
"11842","Opera Cake","Cherry Tart","Apricot Danish",NA,NA,NA,NA,NA
"11843","Gongolais Cookie","Marzipan Cookie","Blueberry Danish","Hot Coffee",NA,NA,NA,NA
"11844","Apple Tart","Apple Croissant","Apple Danish","Cherry Soda",NA,NA,NA,NA
"11845","Cherry Tart","Lemon Cookie","Apricot Danish","Green Tea","Single Espresso",NA,NA,NA
"11846","Opera Cake","Strawberry Cake","Truffle Cake","Apple Pie","Gongolais Cookie","Apricot Danish",NA,NA
"11847","Blueberry Tart","Apricot Croissant","Hot Coffee",NA,NA,NA,NA,NA
"11848","Berry Tart","Blueberry Tart","Chocolate Croissant","Lemon Lemonade",NA,NA,NA,NA
"11849","Truffle Cake","Apple Pie","Gongolais Cookie","Orange Juice",NA,NA,NA,NA
"11850","Raspberry Cookie","Lemon Cookie","Lemon Lemonade","Raspberry Lemonade","Green Tea",NA,NA,NA
"11851","Chocolate Cake","Casino Cake","Almond Tart","Chocolate Coffee",NA,NA,NA,NA
"11852","Chocolate Cake","Walnut Cookie","Almond Croissant","Hot Coffee","Single Espresso",NA,NA,NA
"11853","Almond Croissant",NA,NA,NA,NA,NA,NA,NA
"11854","Apricot Croissant",NA,NA,NA,NA,NA,NA,NA
"11855","Apple Tart","Ganache Cookie","Chocolate Croissant","Single Espresso",NA,NA,NA,NA
"11856","Lemon Cake","Lemon Tart",NA,NA,NA,NA,NA,NA
"11857","Coffee Eclair","Blackberry Tart","Single Espresso",NA,NA,NA,NA,NA
"11858","Opera Cake","Apple Pie","Berry Tart","Bottled Water",NA,NA,NA,NA
"11859","Vanilla Eclair","Cherry Tart","Apricot Danish",NA,NA,NA,NA,NA
"11860","Marzipan Cookie","Almond Bear Claw","Single Espresso",NA,NA,NA,NA,NA
"11861","Casino Cake","Opera Cake","Blackberry Tart","Almond Croissant","Apricot Croissant","Cheese Croissant","Orange Juice",NA
"11862","Truffle Cake","Gongolais Cookie",NA,NA,NA,NA,NA,NA
"11863","Opera Cake","Marzipan Cookie","Tuile Cookie","Chocolate Croissant",NA,NA,NA,NA
"11864","Chocolate Eclair","Apple Tart","Gongolais Cookie",NA,NA,NA,NA,NA
"11865","Chocolate Tart","Vanilla Meringue","Almond Bear Claw","Chocolate Coffee",NA,NA,NA,NA
"11866","Casino Cake","Strawberry Cake","Blueberry Tart","Cherry Tart","Apricot Croissant","Bottled Water",NA,NA
"11867","Napoleon Cake","Cherry Tart","Lemon Cookie","Apricot Danish","Blueberry Danish",NA,NA,NA
"11868","Berry Tart",NA,NA,NA,NA,NA,NA,NA
"11869","Opera Cake",NA,NA,NA,NA,NA,NA,NA
"11870","Vanilla Eclair","Cherry Tart","Apricot Danish",NA,NA,NA,NA,NA
"11871","Berry Tart","Bottled Water",NA,NA,NA,NA,NA,NA
"11872","Chocolate Tart","Walnut Cookie","Vanilla Frappuccino",NA,NA,NA,NA,NA
"11873","Truffle Cake","Marzipan Cookie",NA,NA,NA,NA,NA,NA
"11874","Apple Tart","Apple Croissant","Apple Danish","Cherry Soda",NA,NA,NA,NA
"11875","Chocolate Cake","Casino Cake","Hot Coffee","Chocolate Coffee",NA,NA,NA,NA
"11876","Blueberry Tart","Apricot Croissant","Hot Coffee",NA,NA,NA,NA,NA
"11877","Strawberry Cake","Napoleon Cake",NA,NA,NA,NA,NA,NA
"11878","Chocolate Tart","Walnut Cookie","Green Tea","Vanilla Frappuccino",NA,NA,NA,NA
"11879","Raspberry Cookie","Lemon Cookie","Lemon Lemonade","Raspberry Lemonade","Green Tea",NA,NA,NA
"11880","Cheese Croissant",NA,NA,NA,NA,NA,NA,NA
"11881","Napoleon Cake","Almond Croissant",NA,NA,NA,NA,NA,NA
"11882","Cheese Croissant","Orange Juice",NA,NA,NA,NA,NA,NA
"11883","Opera Cake","Vanilla Eclair","Cherry Tart","Apricot Danish","Vanilla Frappuccino",NA,NA,NA
"11884","Strawberry Cake","Napoleon Cake","Chocolate Croissant",NA,NA,NA,NA,NA
"11885","Opera Cake","Cherry Tart","Apricot Danish",NA,NA,NA,NA,NA
"11886","Lemon Cake","Casino Cake","Apple Tart","Lemon Tart","Gongolais Cookie","Raspberry Cookie","Apple Croissant","Orange Juice"
"11887","Chocolate Cake","Chocolate Tart","Chocolate Meringue","Vanilla Frappuccino",NA,NA,NA,NA
"11888","Truffle Cake","Vanilla Meringue","Apple Croissant","Apricot Croissant",NA,NA,NA,NA
"11889","Opera Cake","Cherry Tart",NA,NA,NA,NA,NA,NA
"11890","Lemon Cake","Lemon Tart","Gongolais Cookie","Apricot Danish","Cherry Soda",NA,NA,NA
"11891","Chocolate Meringue","Marzipan Cookie","Orange Juice","Single Espresso",NA,NA,NA,NA
"11892","Cherry Tart","Apricot Danish",NA,NA,NA,NA,NA,NA
"11893","Chocolate Eclair","Berry Tart","Chocolate Croissant","Bottled Water",NA,NA,NA,NA
"11894","Strawberry Cake","Napoleon Cake","Lemon Tart","Ganache Cookie","Raspberry Cookie","Apple Danish","Bottled Water",NA
"11895","Blackberry Tart","Chocolate Tart","Walnut Cookie","Vanilla Frappuccino",NA,NA,NA,NA
"11896","Chocolate Croissant","Blueberry Danish","Raspberry Lemonade","Single Espresso",NA,NA,NA,NA
"11897","Lemon Cake","Lemon Tart",NA,NA,NA,NA,NA,NA
"11898","Raspberry Cookie","Lemon Cookie","Lemon Lemonade","Raspberry Lemonade","Green Tea",NA,NA,NA
"11899","Apple Tart","Almond Croissant","Chocolate Croissant",NA,NA,NA,NA,NA
"11900","Chocolate Cake","Apricot Tart","Berry Tart","Lemon Tart","Vanilla Meringue","Raspberry Lemonade",NA,NA
"11901","Opera Cake","Raspberry Cookie",NA,NA,NA,NA,NA,NA
"11902","Berry Tart","Bottled Water",NA,NA,NA,NA,NA,NA
"11903","Coffee Eclair","Blackberry Tart",NA,NA,NA,NA,NA,NA
"11904","Blueberry Tart","Apricot Croissant","Hot Coffee",NA,NA,NA,NA,NA
"11905","Strawberry Cake","Chocolate Eclair","Raspberry Lemonade",NA,NA,NA,NA,NA
"11906","Berry Tart","Blueberry Tart","Marzipan Cookie","Tuile Cookie","Apricot Danish","Raspberry Lemonade",NA,NA
"11907","Raspberry Cookie","Lemon Cookie","Lemon Lemonade","Raspberry Lemonade","Green Tea",NA,NA,NA
"11908","Chocolate Eclair","Vanilla Eclair","Gongolais Cookie",NA,NA,NA,NA,NA
"11909","Berry Tart",NA,NA,NA,NA,NA,NA,NA
"11910","Lemon Cookie","Single Espresso",NA,NA,NA,NA,NA,NA
"11911","Apple Tart","Raspberry Cookie","Walnut Cookie","Apple Danish","Vanilla Frappuccino",NA,NA,NA
"11912","Apple Pie","Blackberry Tart",NA,NA,NA,NA,NA,NA
"11913","Casino Cake","Cherry Tart","Apricot Croissant","Cherry Soda","Single Espresso",NA,NA,NA
"11914","Lemon Cake","Lemon Tart","Apple Danish",NA,NA,NA,NA,NA
"11915","Coffee Eclair","Apple Pie","Almond Twist","Hot Coffee",NA,NA,NA,NA
"11916","Strawberry Cake","Chocolate Meringue","Vanilla Meringue","Green Tea",NA,NA,NA,NA
"11917","Apple Tart","Marzipan Cookie","Tuile Cookie","Walnut Cookie","Apricot Danish","Blueberry Danish","Raspberry Lemonade",NA
"11918","Chocolate Eclair","Apple Tart","Berry Tart","Orange Juice",NA,NA,NA,NA
"11919","Truffle Cake","Pecan Tart","Apple Danish",NA,NA,NA,NA,NA
"11920","Opera Cake","Apple Pie","Cherry Tart","Apricot Danish",NA,NA,NA,NA
"11921","Coffee Eclair","Raspberry Cookie","Almond Croissant","Apple Danish","Hot Coffee",NA,NA,NA
"11922","Truffle Cake","Gongolais Cookie","Vanilla Meringue",NA,NA,NA,NA,NA
"11923","Blackberry Tart","Pecan Tart","Almond Croissant","Apricot Danish","Raspberry Lemonade","Orange Juice",NA,NA
"11924","Lemon Cake","Lemon Tart","Apple Danish","Blueberry Danish","Single Espresso",NA,NA,NA
"11925","Lemon Cake","Apple Pie","Lemon Tart","Walnut Cookie","Cheese Croissant","Apple Danish",NA,NA
"11926","Berry Tart","Vanilla Meringue","Apple Croissant","Bottled Water",NA,NA,NA,NA
"11927","Chocolate Cake","Bottled Water",NA,NA,NA,NA,NA,NA
"11928","Marzipan Cookie","Tuile Cookie","Apricot Croissant",NA,NA,NA,NA,NA
"11929","Apple Tart","Cheese Croissant","Orange Juice",NA,NA,NA,NA,NA
"11930","Opera Cake","Chocolate Eclair","Apricot Croissant","Apricot Danish","Almond Bear Claw",NA,NA,NA
"11931","Apple Tart","Blackberry Tart","Orange Juice","Vanilla Frappuccino",NA,NA,NA,NA
"11932","Chocolate Croissant","Raspberry Lemonade",NA,NA,NA,NA,NA,NA
"11933","Apple Pie","Cheese Croissant","Orange Juice",NA,NA,NA,NA,NA
"11934","Vanilla Eclair","Apple Tart","Pecan Tart","Vanilla Meringue","Almond Twist","Orange Juice","Green Tea","Single Espresso"
"11935","Marzipan Cookie","Tuile Cookie",NA,NA,NA,NA,NA,NA
"11936","Lemon Cake",NA,NA,NA,NA,NA,NA,NA
"11937","Vanilla Meringue",NA,NA,NA,NA,NA,NA,NA
"11938","Apple Tart","Apple Croissant","Apple Danish","Hot Coffee","Cherry Soda",NA,NA,NA
"11939","Chocolate Eclair","Blueberry Danish",NA,NA,NA,NA,NA,NA
"11940","Lemon Cake","Strawberry Cake","Berry Tart","Pecan Tart","Tuile Cookie",NA,NA,NA
"11941","Apricot Tart","Raspberry Cookie","Tuile Cookie","Chocolate Croissant","Blueberry Danish",NA,NA,NA
"11942","Napoleon Cake","Cherry Tart","Tuile Cookie","Bottled Water",NA,NA,NA,NA
"11943","Lemon Cake","Lemon Tart",NA,NA,NA,NA,NA,NA
"11944","Apple Tart","Apple Croissant","Apple Danish","Cherry Soda",NA,NA,NA,NA
"11945","Raspberry Cookie","Lemon Cookie","Lemon Lemonade","Raspberry Lemonade","Green Tea",NA,NA,NA
"11946","Lemon Cake","Casino Cake","Coffee Eclair","Apple Pie","Cherry Tart","Almond Twist","Almond Bear Claw","Hot Coffee"
"11947","Casino Cake","Apricot Croissant","Cherry Soda",NA,NA,NA,NA,NA
"11948","Chocolate Cake","Casino Cake","Chocolate Coffee",NA,NA,NA,NA,NA
"11949","Coffee Eclair","Blackberry Tart","Single Espresso",NA,NA,NA,NA,NA
"11950","Opera Cake","Cherry Tart","Vanilla Meringue","Apricot Danish",NA,NA,NA,NA
"11951","Cherry Tart","Apricot Danish",NA,NA,NA,NA,NA,NA
"11952","Strawberry Cake","Blackberry Tart","Chocolate Tart","Raspberry Cookie","Almond Croissant","Apricot Danish","Apple Danish","Cherry Soda"
"11953","Opera Cake","Cherry Tart","Apricot Danish",NA,NA,NA,NA,NA
"11954","Coffee Eclair","Apple Pie","Almond Twist","Hot Coffee",NA,NA,NA,NA
"11955","Truffle Cake","Chocolate Eclair","Gongolais Cookie","Tuile Cookie","Almond Croissant","Green Tea",NA,NA
"11956","Truffle Cake","Gongolais Cookie","Lemon Lemonade",NA,NA,NA,NA,NA
"11957","Opera Cake","Coffee Eclair","Berry Tart","Pecan Tart","Apricot Croissant","Green Tea",NA,NA
"11958","Casino Cake","Pecan Tart","Apricot Danish","Blueberry Danish","Raspberry Lemonade","Green Tea",NA,NA
"11959","Opera Cake","Apple Pie","Green Tea","Cherry Soda","Single Espresso",NA,NA,NA
"11960","Opera Cake","Apple Croissant",NA,NA,NA,NA,NA,NA
"11961","Lemon Cake","Truffle Cake","Apple Tart","Lemon Lemonade","Orange Juice",NA,NA,NA
"11962","Lemon Cake","Chocolate Tart","Lemon Tart","Apricot Croissant",NA,NA,NA,NA
"11963","Cherry Tart","Apple Danish","Orange Juice","Single Espresso",NA,NA,NA,NA
"11964","Strawberry Cake","Napoleon Cake","Apple Pie",NA,NA,NA,NA,NA
"11965","Chocolate Tart","Walnut Cookie","Vanilla Frappuccino",NA,NA,NA,NA,NA
"11966","Coffee Eclair","Apple Pie","Almond Twist","Single Espresso",NA,NA,NA,NA
"11967","Casino Cake",NA,NA,NA,NA,NA,NA,NA
"11968","Strawberry Cake","Marzipan Cookie","Orange Juice","Chocolate Coffee",NA,NA,NA,NA
"11969","Truffle Cake","Gongolais Cookie",NA,NA,NA,NA,NA,NA
"11970","Chocolate Cake","Coffee Eclair","Apple Tart","Blackberry Tart","Blueberry Tart","Ganache Cookie","Marzipan Cookie","Single Espresso"
"11971","Chocolate Cake","Lemon Cake","Truffle Cake","Walnut Cookie","Apricot Croissant",NA,NA,NA
"11972","Chocolate Tart","Walnut Cookie","Vanilla Frappuccino",NA,NA,NA,NA,NA
"11973","Berry Tart","Raspberry Cookie","Bottled Water",NA,NA,NA,NA,NA
"11974","Apple Tart","Apple Croissant","Chocolate Croissant","Apple Danish","Cherry Soda",NA,NA,NA
"11975","Berry Tart","Lemon Tart","Chocolate Meringue","Raspberry Lemonade","Bottled Water",NA,NA,NA
"11976","Lemon Cake","Blueberry Tart","Lemon Tart",NA,NA,NA,NA,NA
"11977","Strawberry Cake",NA,NA,NA,NA,NA,NA,NA
"11978","Opera Cake","Lemon Tart","Pecan Tart","Hot Coffee",NA,NA,NA,NA
"11979","Blackberry Tart","Hot Coffee",NA,NA,NA,NA,NA,NA
"11980","Cherry Tart","Apricot Danish",NA,NA,NA,NA,NA,NA
"11981","Vanilla Eclair","Berry Tart","Vanilla Meringue","Bottled Water",NA,NA,NA,NA
"11982","Almond Tart","Gongolais Cookie","Cheese Croissant","Orange Juice",NA,NA,NA,NA
"11983","Lemon Cake","Strawberry Cake","Napoleon Cake","Chocolate Tart",NA,NA,NA,NA
"11984","Truffle Cake","Gongolais Cookie","Apple Croissant","Raspberry Lemonade",NA,NA,NA,NA
"11985","Strawberry Cake","Napoleon Cake","Pecan Tart",NA,NA,NA,NA,NA
"11986","Marzipan Cookie","Tuile Cookie","Chocolate Croissant","Raspberry Lemonade",NA,NA,NA,NA
"11987","Walnut Cookie","Bottled Water",NA,NA,NA,NA,NA,NA
"11988","Strawberry Cake","Napoleon Cake","Walnut Cookie","Vanilla Frappuccino",NA,NA,NA,NA
"11989","Blueberry Tart","Chocolate Tart","Blueberry Danish","Bottled Water",NA,NA,NA,NA
"11990","Chocolate Cake","Casino Cake","Chocolate Tart","Lemon Cookie","Chocolate Coffee",NA,NA,NA
"11991","Coffee Eclair","Apple Pie","Almond Twist",NA,NA,NA,NA,NA
"11992","Marzipan Cookie","Tuile Cookie",NA,NA,NA,NA,NA,NA
"11993","Truffle Cake","Almond Tart","Gongolais Cookie","Tuile Cookie","Apple Croissant",NA,NA,NA
"11994","Truffle Cake","Gongolais Cookie",NA,NA,NA,NA,NA,NA
"11995","Chocolate Cake","Berry Tart","Blueberry Danish","Chocolate Coffee",NA,NA,NA,NA
"11996","Lemon Lemonade",NA,NA,NA,NA,NA,NA,NA
"11997","Napoleon Cake","Apple Croissant","Apple Danish",NA,NA,NA,NA,NA
"11998","Lemon Cake","Coffee Eclair","Blueberry Tart",NA,NA,NA,NA,NA
"11999","Opera Cake","Cherry Tart","Apricot Danish",NA,NA,NA,NA,NA
"12000","Apple Tart","Apple Croissant","Apple Danish","Cherry Soda",NA,NA,NA,NA
"12001","Lemon Cake","Casino Cake","Apricot Tart","Green Tea",NA,NA,NA,NA
"12002","Raspberry Cookie","Lemon Cookie","Lemon Lemonade","Raspberry Lemonade","Green Tea",NA,NA,NA
"12003","Berry Tart","Raspberry Lemonade","Bottled Water",NA,NA,NA,NA,NA
"12004","Lemon Cake","Lemon Tart","Almond Bear Claw",NA,NA,NA,NA,NA
"12005","Marzipan Cookie","Tuile Cookie",NA,NA,NA,NA,NA,NA
"12006","Apple Tart","Apple Croissant","Apple Danish","Cherry Soda",NA,NA,NA,NA
"12007","Chocolate Cake","Coffee Eclair","Cherry Tart","Vanilla Meringue","Green Tea",NA,NA,NA
"12008","Casino Cake","Strawberry Cake","Napoleon Cake","Berry Tart","Apricot Croissant",NA,NA,NA
"12009","Chocolate Tart","Lemon Tart","Ganache Cookie","Apricot Danish","Bottled Water","Hot Coffee",NA,NA
"12010","Opera Cake","Cherry Tart","Pecan Tart","Apricot Danish","Hot Coffee",NA,NA,NA
"12011","Opera Cake","Lemon Cookie",NA,NA,NA,NA,NA,NA
"12012","Apple Tart","Gongolais Cookie","Lemon Cookie","Hot Coffee","Chocolate Coffee",NA,NA,NA
"12013","Lemon Cookie",NA,NA,NA,NA,NA,NA,NA
"12014","Marzipan Cookie","Tuile Cookie","Chocolate Croissant",NA,NA,NA,NA,NA
"12015","Chocolate Cake","Truffle Cake","Berry Tart","Blueberry Tart","Ganache Cookie",NA,NA,NA
"12016","Lemon Cake","Lemon Tart","Green Tea",NA,NA,NA,NA,NA
"12017","Chocolate Cake","Casino Cake","Chocolate Coffee",NA,NA,NA,NA,NA
"12018","Vanilla Eclair","Gongolais Cookie","Walnut Cookie","Single Espresso",NA,NA,NA,NA
"12019","Chocolate Meringue","Apple Croissant",NA,NA,NA,NA,NA,NA
"12020","Chocolate Eclair","Raspberry Cookie","Chocolate Croissant",NA,NA,NA,NA,NA
"12021","Tuile Cookie",NA,NA,NA,NA,NA,NA,NA
"12022","Marzipan Cookie","Tuile Cookie","Apple Croissant","Cheese Croissant","Hot Coffee","Chocolate Coffee",NA,NA
"12023","Orange Juice",NA,NA,NA,NA,NA,NA,NA
"12024","Cheese Croissant","Orange Juice",NA,NA,NA,NA,NA,NA
"12025","Lemon Cake","Cherry Tart","Lemon Tart",NA,NA,NA,NA,NA
"12026","Cherry Tart","Gongolais Cookie","Lemon Lemonade","Hot Coffee","Vanilla Frappuccino",NA,NA,NA
"12027","Opera Cake","Cherry Tart","Apricot Danish",NA,NA,NA,NA,NA
"12028","Chocolate Tart","Walnut Cookie","Apple Croissant","Vanilla Frappuccino",NA,NA,NA,NA
"12029","Blueberry Tart","Apricot Croissant","Hot Coffee",NA,NA,NA,NA,NA
"12030","Coffee Eclair","Apple Pie","Almond Twist","Hot Coffee",NA,NA,NA,NA
"12031","Strawberry Cake","Apple Pie","Blackberry Tart",NA,NA,NA,NA,NA
"12032","Casino Cake","Almond Tart","Apple Pie","Apricot Tart","Blueberry Tart","Single Espresso",NA,NA
"12033","Blackberry Tart","Gongolais Cookie",NA,NA,NA,NA,NA,NA
"12034","Coffee Eclair","Berry Tart","Chocolate Tart","Chocolate Croissant",NA,NA,NA,NA
"12035","Chocolate Cake","Opera Cake","Chocolate Eclair","Coffee Eclair","Apple Tart","Berry Tart","Lemon Cookie","Almond Bear Claw"
"12036","Strawberry Cake","Napoleon Cake","Raspberry Lemonade",NA,NA,NA,NA,NA
"12037","Marzipan Cookie","Tuile Cookie",NA,NA,NA,NA,NA,NA
"12038","Coffee Eclair","Blackberry Tart","Single Espresso",NA,NA,NA,NA,NA
"12039","Cherry Tart","Apricot Danish",NA,NA,NA,NA,NA,NA
"12040","Chocolate Cake","Lemon Cake","Casino Cake","Lemon Tart","Raspberry Cookie",NA,NA,NA
"12041","Strawberry Cake","Apricot Tart","Blueberry Danish",NA,NA,NA,NA,NA
"12042","Blackberry Tart","Marzipan Cookie","Lemon Lemonade",NA,NA,NA,NA,NA
"12043","Apricot Tart","Vanilla Meringue",NA,NA,NA,NA,NA,NA
"12044","Coffee Eclair","Apple Pie","Almond Twist","Hot Coffee",NA,NA,NA,NA
"12045","Lemon Cake","Napoleon Cake","Raspberry Cookie","Chocolate Meringue","Orange Juice",NA,NA,NA
"12046","Blueberry Tart","Apricot Croissant","Hot Coffee",NA,NA,NA,NA,NA
"12047","Lemon Cake","Lemon Tart","Vanilla Meringue","Cheese Croissant",NA,NA,NA,NA
"12048","Lemon Cake","Apple Pie","Almond Twist",NA,NA,NA,NA,NA
"12049","Marzipan Cookie","Cheese Croissant","Orange Juice",NA,NA,NA,NA,NA
"12050","Casino Cake","Apple Tart","Lemon Cookie","Walnut Cookie","Raspberry Lemonade","Vanilla Frappuccino",NA,NA
"12051","Truffle Cake","Cherry Tart","Blueberry Danish",NA,NA,NA,NA,NA
"12052","Casino Cake","Apricot Tart","Berry Tart","Blackberry Tart","Tuile Cookie","Chocolate Croissant","Green Tea","Bottled Water"
"12053","Apple Tart","Apple Croissant","Apple Danish","Cherry Soda",NA,NA,NA,NA
"12054","Walnut Cookie","Cheese Croissant","Orange Juice",NA,NA,NA,NA,NA
"12055","Opera Cake","Cherry Tart","Apricot Danish",NA,NA,NA,NA,NA
"12056","Almond Tart","Chocolate Tart","Apricot Croissant",NA,NA,NA,NA,NA
"12057","Coffee Eclair","Blackberry Tart","Lemon Lemonade",NA,NA,NA,NA,NA
"12058","Truffle Cake","Cherry Tart","Chocolate Meringue","Almond Twist","Green Tea",NA,NA,NA
"12059","Vanilla Eclair","Apple Tart","Cherry Tart","Chocolate Meringue","Apricot Danish",NA,NA,NA
"12060","Apple Pie","Ganache Cookie","Apple Danish",NA,NA,NA,NA,NA
"12061","Blueberry Tart","Raspberry Cookie","Vanilla Frappuccino",NA,NA,NA,NA,NA
"12062","Lemon Cake","Cheese Croissant","Orange Juice",NA,NA,NA,NA,NA
